,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,Day5,Day25,Day50,ClusterGMM
95,Jordan,89318.0,9702,109.3,37517.0,2.4,4940.1,4.0,27.7,68.4,2.0,17.8,80.2,13.4,134.0,135.0,7509.0,19207.0,4.9,83.7,3.8,35.5,5.7,7.5,2.6,4.146666667,98.6,98.9,5.8,75.5,72.2,97.6,97.1,84.8,80.2,47.3,42.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,349,460,2
96,Kazakhstan,2724902.0,18204,6.7,181754.0,1.2,10312.1,5.0,32.5,62.5,18.1,20.4,61.6,5.6,126.0,127.0,36775.0,25175.0,1.6,53.2,0.9,27.9,11.1,4.4,3.3,2.8,97.0,98.1,0.05,73.9,64.3,109.1,108.8,113.5,110.6,51.3,41.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,704,3877,2
98,Kiribati,726.0,116,143.7,162.0,3.7,1442.9,24.1,13.6,62.2,20.64666667,15.91333333,61.23333333,12.14,61.0,61.0,3.0,116.0,1.8,44.3,1.8,35.0,6.4,10.2,0.2,4.993333333,51.2,30.6,20.05,68.9,62.4,106.1,102.9,92.6,87.99333333,39.58,27.86666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,191,829,2
99,Kuwait,17818.0,4136,232.1,114054.0,1.8,29303.9,0.6,48.7,50.7,2.6,27.3,70.1,2.2,199.0,199.0,46238.0,30825.0,5.4,98.3,3.6,21.1,4.9,3.0,1.9,4.346666667,100.0,100.0,1.4113333330000002,75.5,73.5,103.0,102.4,102.7,88.2,33.1,20.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,195,1915,2
100,Kyrgyzstan,199949.0,6045,31.5,6572.0,3.5,1106.4,15.4,25.9,58.7,29.2,21.0,49.8,7.7,108.0,110.0,1423.0,3844.0,1.6,35.7,1.6,31.8,7.6,6.5,1.9,5.5,89.1,95.6,12.16,74.3,66.4,106.8,107.9,92.8,91.4,53.3,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,377,895,2
101,Lao People's Democratic Republic,236800.0,6858,29.7,12585.0,7.6,1850.2,23.6,32.8,43.6,78.3,4.0,17.7,1.5,193.0,186.0,2066.0,4513.0,1.3,38.6,4.9,32.9,6.3,1.9,0.2,3.3,94.5,56.0,4.03,66.8,63.9,109.1,113.5,59.3,64.1,16.5,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,19,19,2
103,Lebanon,10452.0,6082,594.6,50149.0,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7.0,95.0,95.0,3402.0,20409.0,6.0,87.8,3.2,23.1,12.0,6.4,2.4,2.6,80.7,80.7,2.04,80.9,77.3,88.3,96.6,61.0,61.5,45.7,39.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,333,673,2
106,Libya,1676198.0,6375,3.6,34457.0,-10.2,5488.2,0.9,67.1,32.0,19.1,25.1,55.8,19.2,113.0,114.0,4615.0,8876.0,0.2,78.6,1.1,28.2,6.6,5.0,2.1,4.38,96.8,95.7,0.51,74.4,68.8,93.25333333,101.8733333,55.73333333,58.66,23.86666667,22.84666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,64,2
112,Malaysia,330323.0,31624,96.3,296284.0,5.0,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,122.0,130.0,189414.0,168375.0,1.8,74.7,2.7,24.3,9.7,4.2,1.3,5.0,96.1,95.9,0.0,77.1,72.6,101.9,101.7,80.7,74.6,31.8,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,2161,5482,2
113,Maldives,300.0,436,1454.4,3435.0,2.8,9446.5,3.1,22.0,74.9,7.7,22.8,69.5,2.9,65.0,65.0,140.0,2128.0,2.8,45.5,4.5,23.4,6.3,13.7,1.32,5.2,97.5,98.3,0.95,77.4,75.4,98.6,97.3,98.00666667,94.84,20.3,12.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,137,2
118,Mexico,1964375.0,129163,66.4,1140724.0,2.5,8980.9,3.6,36.0,60.4,13.4,25.2,61.3,4.1,120.0,120.0,373883.0,387064.0,1.4,79.2,1.6,26.7,10.1,6.3,2.1,5.3,88.0,74.5,0.03,78.9,74.0,103.2,103.6,93.5,87.7,30.0,29.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53,1890,17799,2
120,Mongolia,1564116.0,3076,2.0,11758.0,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51.0,6.3,147.0,149.0,4917.0,3358.0,1.9,72.0,2.8,29.7,6.6,4.7,2.9,4.6,66.4,42.6,2.21,72.7,64.5,100.0,101.8,92.4,90.5,79.7,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,16,41,2
123,Morocco,446550.0,35740,80.1,100359.0,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,130.0,130.0,22858.0,41696.0,1.4,60.2,2.3,27.4,10.7,5.9,0.6,4.7066666669999995,84.1,65.5,1.51,76.0,73.7,111.6,117.7,63.5,74.4,27.5,28.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,919,4321,2
125,Myanmar,676577.0,53371,81.7,62601.0,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,130.0,128.0,11673.0,15696.0,0.9,34.1,2.5,26.8,9.4,2.3,0.6,3.9666666669999997,84.3,77.1,2.23,68.3,63.7,98.3,101.0,52.0,50.6,14.9,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,85,180,2
131,Nicaragua,130373.0,6218,51.7,12693.0,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130.0,130.0,2225.0,5927.0,1.2,58.8,2.0,29.0,8.4,9.0,0.9,4.146666667,76.5,55.7,3.68,77.5,71.4,105.28666670000001,106.76666670000002,74.90666667,75.14666667,32.18666667,28.21333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,16,2
136,Oman,309500.0,4636,15.0,69832.0,5.7,15550.8,1.5,51.1,47.3,5.0,39.6,55.4,17.8,134.0,134.0,24455.0,23260.0,6.5,77.6,8.5,21.8,4.0,3.6,1.5,5.0,97.3,94.7,4.144666667,78.7,74.5,111.2,107.4,107.9,101.0,29.67333333,25.67333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,99,1266,2
137,Pakistan,796095.0,197016,255.6,266458.0,5.5,1410.4,25.5,19.0,55.5,42.1,19.8,38.1,5.9,135.0,138.0,20534.0,46998.0,2.1,38.8,2.8,34.8,6.7,2.6,0.8,2.6,83.1,51.1,1.32,66.8,65.0,85.2,99.7,39.2,49.5,9.2,10.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2291,14079,2
138,Panama,75320.0,4099,55.1,52132.0,5.8,13268.1,2.8,27.1,70.0,14.5,19.6,65.9,6.2,117.0,118.0,636.0,11697.0,1.7,66.6,2.1,27.4,11.4,8.0,1.6,3.2,83.5,58.0,0.02,80.5,74.3,100.9,103.5,78.3,72.9,46.5,31.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,1475,6021,2
