,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male)
41,Channel Islands,NorthernEurope,180,165,870.1,2494.466667,3.46,24740.37333,4.966666667,17.21333333,77.82,5,24.5,70.5,8.7,100.4,100.6666667,364.3333333,1138.533333,0.5,31.5,0.8,14.5,24.5,8.06,2.02,4.926666667,89.60666667,89.59333333,12.714,82.4,78.7,100.0533333,101.94,94.83333333,92.6,46.36666667,32.22666667
42,Chile,SouthAmerica,756102,18055,24.3,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,111,111,59884,58804,0.9,89.5,1.1,20.3,16,7.8,0.7,4.9,100,90.9,0.02,81.3,76.2,100,103.3,101.3,100,94.4,83
43,"China, Hong Kong SAR",EasternAsia,1106,7365,7014.2,309236,2.4,42431,0.1,7.2,92.7,0.2,14.9,84.9,3.5,34,34,516588,547124,0.6,100,0.7,11.5,23.5,7.373333333,3.36,3.3,92.96,91.74666667,0.642666667,86.4,80.5,102.9466667,105.66,98.8,102.8,73.7,63.5
44,"China, Macao SAR",EasternAsia,30,623,20821.6,46178,-20.3,78586.4,1.266666667,6.6,93.4,0.3,17.7,82.1,3.2,86,86,1257,8924,2.3,100,1.8,13.3,16.1,6.226666667,2.46,2,92.76666667,90.57333333,2.750666667,86.2,80.3,99.7,101.1,95.9,97,86.3,65.2
45,China,EasternAsia,9600000,1409517,150.1,11158457,6.9,8109.1,9.2,41.1,49.7,27,23.9,49.1,4.6,132,133,2118981,1588696,0.5,55.6,3,17.7,16.2,5.5,1.5,4.7,86.6,63.7,0,77.2,74.2,104.3,104,95.6,93.2,47.3,39.9
46,Colombia,SouthAmerica,1141748,49066,44.2,292080,3.1,6056.1,6.8,34,59.2,13.5,16.6,69.9,10.5,114,115,31045,44831,1,76.4,1.7,23.5,11.6,7.2,1.046666667,4.5,85.2,67.9,0.47,77.4,70.2,111.6,115.4,101.5,94.8,59.9,51.5
47,Comoros,EasternAfrica,2235,814,437.4,1079,4.8,1368.9,30.7,4,65.3,62,5.2,32.8,20,107,107,20,193,2.4,28.3,2.7,39.8,4.9,6.7,1.386666667,4.3,48.3,30.9,12.05,64.5,61.2,99.5,106.8,62.4,58.4,8,9.8
48,Congo,MiddleAfrica,342000,5261,15.4,8493,1.2,1838.1,4.7,70,25.3,40.7,25.8,33.5,11.5,106,106,2540,9793,2.6,65.4,3.2,42.3,5.2,5.2,1.506666667,4.606666667,20,5.6,1.05,64.1,61,114.8,107,50.6,58.4,8.3,11.1
49,Cook Islands,Polynesia,236,17,72.4,294,5.5,14118.7,8.1,9,82.9,4.3,11.7,84,8.2,91,91,14,98,-1.2,74.5,0.9,26.9,14.2,3.4,1.32,3.9,97.6,97.6,10.60733333,79.6,71.7,99.3,106,90.1,83,49.5,40.1
50,Costa Rica,CentralAmerica,51100,4906,96.1,52958,3.7,11015,5.1,21.5,73.4,11.6,19.1,69.3,8.6,127,129,9908,15322,1.1,76.8,2.7,21.6,13.6,9.3,1.2,7.2,95.2,92.3,0.22,81.7,76.7,109.5,110.1,125.6,120.7,60.9,46.6
