,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,ClusterGMM
88,Guinea,245857.0,12717,51.8,8875.0,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,130.0,131.0,1753.0,2082.0,2.3,37.2,3.8,42.3,5.2,5.6,1.4266666669999999,3.2,34.1,11.8,8.65,58.4,57.4,83.8,98.6,30.7,46.8,6.7,14.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
90,Haiti,27750.0,10981,398.4,8501.0,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,163.0,166.0,984.0,3316.0,1.4,58.6,3.8,33.0,7.3,7.6,1.2066666670000001,4.986666667,33.6,19.2,11.73,64.4,60.2,105.41333329999999,107.63333329999999,71.69333333,70.48666667,26.64,21.03333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,India,3287263.0,1339180,450.4,2116239.0,7.6,1614.2,17.0,29.7,53.2,44.3,24.5,31.2,3.4,143.0,142.0,260327.0,356705.0,1.2,32.7,2.4,27.8,9.4,4.7,0.7,3.8,62.6,28.5,0.16,69.1,66.2,115.1,102.8,74.5,73.5,26.7,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,Kenya,591958.0,49700,87.3,63399.0,5.6,1376.7,32.0,19.0,49.0,61.9,8.6,29.5,10.8,126.0,126.0,5688.0,14109.0,2.7,25.6,4.3,40.5,4.3,5.7,0.2,5.3,31.2,29.7,3.93,67.8,63.0,108.7,109.3,52.26666667,59.04666667,15.76666667,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
111,Lao People's Democratic Republic,236800.0,6858,29.7,12585.0,7.6,1850.2,23.6,32.8,43.6,78.3,4.0,17.7,1.5,193.0,186.0,2066.0,4513.0,1.3,38.6,4.9,32.9,6.3,1.9,0.2,3.3,94.5,56.0,4.03,66.8,63.9,109.1,113.5,59.3,64.1,16.5,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
114,Lesotho,30355.0,2233,73.6,2008.0,2.8,940.6,7.7,31.3,61.0,39.7,20.0,40.3,27.5,101.0,100.0,648.0,1727.0,1.3,27.3,3.0,35.4,6.7,10.6,1.106666667,5.086666667,37.3,27.6,4.11,54.7,50.1,104.0,107.0,62.0,45.7,11.7,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
115,Liberia,111369.0,4732,49.1,2053.0,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43.0,4.1,104.0,121.0,641.0,727.0,2.6,49.7,3.4,41.8,4.9,10.0,2.613333333,2.8,28.0,5.9,61.73,61.6,59.8,89.1,98.5,32.5,41.9,9.0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
120,Madagascar,587295.0,25571,44.0,9739.0,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,119.0,120.0,2256.0,2965.0,2.7,35.1,4.7,41.0,4.8,3.0,0.1,2.1,18.0,8.7,7.05,66.0,63.0,148.9,148.9,38.1,38.8,4.6,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
121,Malawi,118484.0,18622,197.5,6420.0,3.0,372.9,26.1,16.6,57.3,69.9,4.8,25.4,6.8,149.0,150.0,875.0,1649.0,2.9,16.3,3.8,44.0,4.3,11.4,2.313333333,5.6,47.3,39.8,16.53,63.1,58.2,147.0,144.0,41.0,45.8,0.6,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
124,Mali,1240192.0,18542,15.2,13100.0,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,154.0,157.0,3030.0,2510.0,2.9,39.9,5.1,47.7,4.0,7.0,0.986666667,3.7,37.5,16.1,9.45,56.9,55.6,72.1,79.3,36.8,45.6,4.1,9.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
